,r,p,i,t,I_A
99,1,1,4,10,-0.0
100,1,1,4,11,-0.0
101,1,1,4,12,-0.0
102,1,1,4,13,-0.0
103,1,1,4,14,-0.0
104,1,1,4,15,-0.0
105,1,1,4,16,-0.0
106,1,1,4,17,-0.0
107,1,1,4,18,-0.0
108,1,1,4,19,-0.0
109,1,1,4,20,-0.0
110,1,1,4,21,-0.0
111,1,1,4,22,-0.0
112,1,1,4,23,-0.0
113,1,1,4,24,-0.0
114,1,1,4,25,-0.0
115,1,1,4,26,-0.0
116,1,1,4,27,-0.0
117,1,1,4,28,-0.0
118,1,1,4,29,0.0
119,1,1,4,30,0.0
120,1,1,5,1,0.0
121,1,1,5,2,0.0
122,1,1,5,3,0.0
123,1,1,5,4,0.0
124,1,1,5,5,0.0
125,1,1,5,6,0.0
126,1,1,5,7,0.0
127,1,1,5,8,-0.0
128,1,1,5,9,-0.0
129,1,1,5,10,-0.0
130,1,1,5,11,-0.0
131,1,1,5,12,-0.0
132,1,1,5,13,-0.0
133,1,1,5,14,-0.0
134,1,1,5,15,-0.0
135,1,1,5,16,-0.0
136,1,1,5,17,-0.0
137,1,1,5,18,-0.0
138,1,1,5,19,-0.0
139,1,1,5,20,-0.0
140,1,1,5,21,-0.0
141,1,1,5,22,-0.0
142,1,1,5,23,-0.0
143,1,1,5,24,-0.0
144,1,1,5,25,-0.0
145,1,1,5,26,-0.0
146,1,1,5,27,-0.0
147,1,1,5,28,-0.0
148,1,1,5,29,0.0
149,1,1,5,30,0.0
150,1,1,6,1,0.0
151,1,1,6,2,0.0
152,1,1,6,3,0.0
153,1,1,6,4,0.0
154,1,1,6,5,0.0
155,1,1,6,6,0.0
156,1,1,6,7,0.0
157,1,1,6,8,-0.0
158,1,1,6,9,-0.0
159,1,1,6,10,-0.0
160,1,1,6,11,-0.0
161,1,1,6,12,-0.0
162,1,1,6,13,-0.0
163,1,1,6,14,-0.0
164,1,1,6,15,-0.0
165,1,1,6,16,-0.0
166,1,1,6,17,-0.0
167,1,1,6,18,-0.0
168,1,1,6,19,-0.0
169,1,1,6,20,-0.0
170,1,1,6,21,-0.0
171,1,1,6,22,-0.0
172,1,1,6,23,-0.0
173,1,1,6,24,-0.0
174,1,1,6,25,-0.0
175,1,1,6,26,-0.0
176,1,1,6,27,-0.0
177,1,1,6,28,-0.0
178,1,1,6,29,0.0
179,1,1,6,30,0.0
180,1,1,7,1,0.0
181,1,1,7,2,0.0
182,1,1,7,3,0.0
183,1,1,7,4,0.0
184,1,1,7,5,0.0
185,1,1,7,6,0.0
186,1,1,7,7,0.0
187,1,1,7,8,-0.0
188,1,1,7,9,-0.0
189,1,1,7,10,-0.0
190,1,1,7,11,-0.0
191,1,1,7,12,-0.0
192,1,1,7,13,-0.0
193,1,1,7,14,-0.0
194,1,1,7,15,-0.0
195,1,1,7,16,-0.0
196,1,1,7,17,-0.0
197,1,1,7,18,-0.0
198,1,1,7,19,-0.0
199,1,1,7,20,-0.0
200,1,1,7,21,-0.0
201,1,1,7,22,-0.0
202,1,1,7,23,-0.0
203,1,1,7,24,-0.0
204,1,1,7,25,-0.0
205,1,1,7,26,-0.0
206,1,1,7,27,-0.0
207,1,1,7,28,-0.0
208,1,1,7,29,0.0
209,1,1,7,30,0.0
210,1,1,8,1,0.0
211,1,1,8,2,0.0
212,1,1,8,3,0.0
213,1,1,8,4,0.0
214,1,1,8,5,0.0
215,1,1,8,6,0.0
216,1,1,8,7,0.0
217,1,1,8,8,-0.0
218,1,1,8,9,-0.0
219,1,1,8,10,-0.0
220,1,1,8,11,-0.0
221,1,1,8,12,-0.0
222,1,1,8,13,-0.0
223,1,1,8,14,-0.0
224,1,1,8,15,-0.0
225,1,1,8,16,-0.0
226,1,1,8,17,-0.0
227,1,1,8,18,-0.0
228,1,1,8,19,-0.0
229,1,1,8,20,-0.0
230,1,1,8,21,-0.0
231,1,1,8,22,-0.0
232,1,1,8,23,-0.0
233,1,1,8,24,-0.0
234,1,1,8,25,-0.0
235,1,1,8,26,-0.0
236,1,1,8,27,-0.0
237,1,1,8,28,-0.0
238,1,1,8,29,0.0
239,1,1,8,30,0.0
240,1,1,9,1,0.0
241,1,1,9,2,0.0
242,1,1,9,3,0.0
243,1,1,9,4,0.0
244,1,1,9,5,0.0
245,1,1,9,6,0.0
246,1,1,9,7,0.0
247,1,1,9,8,-0.0
248,1,1,9,9,-0.0
249,1,1,9,10,-0.0
250,1,1,9,11,-0.0
251,1,1,9,12,-0.0
252,1,1,9,13,-0.0
253,1,1,9,14,-0.0
254,1,1,9,15,-0.0
255,1,1,9,16,-0.0
256,1,1,9,17,-0.0
257,1,1,9,18,-0.0
258,1,1,9,19,-0.0
259,1,1,9,20,-0.0
260,1,1,9,21,-0.0
261,1,1,9,22,-0.0
262,1,1,9,23,-0.0
263,1,1,9,24,-0.0
264,1,1,9,25,-0.0
265,1,1,9,26,-0.0
266,1,1,9,27,-0.0
267,1,1,9,28,-0.0
268,1,1,9,29,0.0
269,1,1,9,30,0.0
270,1,1,10,1,0.0
271,1,1,10,2,0.0
272,1,1,10,3,0.0
273,1,1,10,4,0.0
274,1,1,10,5,0.0
275,1,1,10,6,0.0
276,1,1,10,7,0.0
277,1,1,10,8,-0.0
278,1,1,10,9,-0.0
279,1,1,10,10,-0.0
280,1,1,10,11,-0.0
281,1,1,10,12,-0.0
282,1,1,10,13,-0.0
283,1,1,10,14,-0.0
284,1,1,10,15,-0.0
285,1,1,10,16,-0.0
286,1,1,10,17,-0.0
287,1,1,10,18,-0.0
288,1,1,10,19,-0.0
289,1,1,10,20,-0.0
290,1,1,10,21,-0.0
291,1,1,10,22,-0.0
292,1,1,10,23,-0.0
293,1,1,10,24,-0.0
294,1,1,10,25,-0.0
295,1,1,10,26,-0.0
296,1,1,10,27,-0.0
297,1,1,10,28,-0.0
298,1,1,10,29,0.0
299,1,1,10,30,0.0
300,1,1,11,1,0.0
301,1,1,11,2,0.0
302,1,1,11,3,0.0
303,1,1,11,4,0.0
304,1,1,11,5,0.0
305,1,1,11,6,0.0
306,1,1,11,7,0.0
307,1,1,11,8,-0.0
308,1,1,11,9,-0.0
309,1,1,11,10,-0.0
310,1,1,11,11,-0.0
311,1,1,11,12,-0.0
312,1,1,11,13,-0.0
313,1,1,11,14,-0.0
314,1,1,11,15,-0.0
315,1,1,11,16,-0.0
316,1,1,11,17,-0.0
317,1,1,11,18,-0.0
318,1,1,11,19,-0.0
319,1,1,11,20,-0.0
320,1,1,11,21,-0.0
321,1,1,11,22,-0.0
322,1,1,11,23,-0.0
323,1,1,11,24,-0.0
324,1,1,11,25,-0.0
325,1,1,11,26,-0.0
326,1,1,11,27,-0.0
327,1,1,11,28,-0.0
328,1,1,11,29,0.0
329,1,1,11,30,0.0
330,1,1,12,1,0.0
331,1,1,12,2,0.0
332,1,1,12,3,0.0
333,1,1,12,4,0.0
334,1,1,12,5,0.0
335,1,1,12,6,0.0
336,1,1,12,7,0.0
337,1,1,12,8,-0.0
338,1,1,12,9,-0.0
339,1,1,12,10,-0.0
340,1,1,12,11,-0.0
341,1,1,12,12,-0.0
342,1,1,12,13,-0.0
343,1,1,12,14,-0.0
344,1,1,12,15,-0.0
345,1,1,12,16,-0.0
346,1,1,12,17,-0.0
347,1,1,12,18,-0.0
348,1,1,12,19,-0.0
349,1,1,12,20,-0.0
350,1,1,12,21,-0.0
351,1,1,12,22,-0.0
352,1,1,12,23,-0.0
353,1,1,12,24,-0.0
354,1,1,12,25,-0.0
355,1,1,12,26,-0.0
356,1,1,12,27,-0.0
357,1,1,12,28,-0.0
358,1,1,12,29,0.0
359,1,1,12,30,0.0
360,1,1,13,1,0.0
361,1,1,13,2,0.0
362,1,1,13,3,0.0
363,1,1,13,4,0.0
364,1,1,13,5,0.0
365,1,1,13,6,0.0
366,1,1,13,7,0.0
367,1,1,13,8,-0.0
368,1,1,13,9,-0.0
369,1,1,13,10,-0.0
370,1,1,13,11,-0.0
371,1,1,13,12,-0.0
372,1,1,13,13,-0.0
373,1,1,13,14,-0.0
374,1,1,13,15,-0.0
375,1,1,13,16,-0.0
376,1,1,13,17,-0.0
377,1,1,13,18,-0.0
378,1,1,13,19,-0.0
379,1,1,13,20,-0.0
380,1,1,13,21,-0.0
381,1,1,13,22,-0.0
382,1,1,13,23,-0.0
383,1,1,13,24,-0.0
384,1,1,13,25,-0.0
385,1,1,13,26,-0.0
386,1,1,13,27,-0.0
387,1,1,13,28,-0.0
388,1,1,13,29,0.0
389,1,1,13,30,0.0
390,1,1,14,1,0.0
391,1,1,14,2,0.0
392,1,1,14,3,0.0
393,1,1,14,4,0.0
394,1,1,14,5,0.0
395,1,1,14,6,0.0
396,1,1,14,7,0.0
397,1,1,14,8,-0.0
398,1,1,14,9,-0.0
399,1,1,14,10,-0.0
400,1,1,14,11,-0.0
401,1,1,14,12,-0.0
402,1,1,14,13,-0.0
403,1,1,14,14,-0.0
404,1,1,14,15,-0.0
405,1,1,14,16,-0.0
406,1,1,14,17,-0.0
407,1,1,14,18,-0.0
408,1,1,14,19,-0.0
409,1,1,14,20,-0.0
410,1,1,14,21,-0.0
411,1,1,14,22,-0.0
412,1,1,14,23,-0.0
413,1,1,14,24,-0.0
414,1,1,14,25,-0.0
415,1,1,14,26,-0.0
416,1,1,14,27,-0.0
417,1,1,14,28,-0.0
418,1,1,14,29,0.0
419,1,1,14,30,0.0
420,1,1,15,1,0.0
421,1,1,15,2,0.0
422,1,1,15,3,0.0
423,1,1,15,4,0.0
424,1,1,15,5,0.0
425,1,1,15,6,0.0
426,1,1,15,7,0.0
427,1,1,15,8,-0.0
428,1,1,15,9,-0.0
429,1,1,15,10,-0.0
430,1,1,15,11,-0.0
431,1,1,15,12,-0.0
432,1,1,15,13,-0.0
433,1,1,15,14,-0.0
434,1,1,15,15,-0.0
435,1,1,15,16,-0.0
436,1,1,15,17,-0.0
437,1,1,15,18,-0.0
438,1,1,15,19,-0.0
439,1,1,15,20,-0.0
440,1,1,15,21,-0.0
441,1,1,15,22,-0.0
442,1,1,15,23,-0.0
443,1,1,15,24,-0.0
444,1,1,15,25,-0.0
445,1,1,15,26,-0.0
446,1,1,15,27,-0.0
447,1,1,15,28,-0.0
448,1,1,15,29,0.0
449,1,1,15,30,0.0
450,1,2,1,1,0.0
451,1,2,1,2,0.0
452,1,2,1,3,0.0
453,1,2,1,4,0.0
454,1,2,1,5,0.0
455,1,2,1,6,0.0
456,1,2,1,7,0.0
457,1,2,1,8,0.0
458,1,2,1,9,0.0
459,1,2,1,10,0.0
460,1,2,1,11,0.0
461,1,2,1,12,0.0
462,1,2,1,13,0.0
463,1,2,1,14,0.0
464,1,2,1,15,-0.0
465,1,2,1,16,-0.0
466,1,2,1,17,-0.0
467,1,2,1,18,-0.0
468,1,2,1,19,-0.0
469,1,2,1,20,-0.0
470,1,2,1,21,-0.0
471,1,2,1,22,-0.0
472,1,2,1,23,-0.0
473,1,2,1,24,-0.0
474,1,2,1,25,-0.0
475,1,2,1,26,-0.0
476,1,2,1,27,-0.0
477,1,2,1,28,-0.0
478,1,2,1,29,0.0
479,1,2,1,30,0.0
480,1,2,2,1,0.0
481,1,2,2,2,0.0
482,1,2,2,3,0.0
483,1,2,2,4,0.0
484,1,2,2,5,0.0
485,1,2,2,6,0.0
486,1,2,2,7,0.0
487,1,2,2,8,0.0
488,1,2,2,9,0.0
489,1,2,2,10,0.0
490,1,2,2,11,0.0
491,1,2,2,12,0.0
492,1,2,2,13,0.0
493,1,2,2,14,0.0
494,1,2,2,15,-0.0
495,1,2,2,16,-0.0
496,1,2,2,17,-0.0
497,1,2,2,18,-0.0
498,1,2,2,19,-0.0
499,1,2,2,20,-0.0
500,1,2,2,21,-0.0
501,1,2,2,22,-0.0
502,1,2,2,23,-0.0
503,1,2,2,24,-0.0
504,1,2,2,25,-0.0
505,1,2,2,26,-0.0
506,1,2,2,27,-0.0
507,1,2,2,28,-0.0
508,1,2,2,29,0.0
509,1,2,2,30,0.0
510,1,2,3,1,0.0
511,1,2,3,2,0.0
512,1,2,3,3,0.0
513,1,2,3,4,0.0
514,1,2,3,5,0.0
515,1,2,3,6,0.0
516,1,2,3,7,0.0
517,1,2,3,8,0.0
518,1,2,3,9,0.0
519,1,2,3,10,0.0
520,1,2,3,11,0.0
521,1,2,3,12,0.0
522,1,2,3,13,0.0
523,1,2,3,14,0.0
524,1,2,3,15,-0.0
525,1,2,3,16,-0.0
526,1,2,3,17,-0.0
527,1,2,3,18,-0.0
528,1,2,3,19,-0.0
529,1,2,3,20,-0.0
530,1,2,3,21,-0.0
531,1,2,3,22,-0.0
532,1,2,3,23,-0.0
533,1,2,3,24,-0.0
534,1,2,3,25,-0.0
535,1,2,3,26,-0.0
536,1,2,3,27,-0.0
537,1,2,3,28,-0.0
538,1,2,3,29,0.0
539,1,2,3,30,0.0
540,1,2,4,1,0.0
541,1,2,4,2,0.0
542,1,2,4,3,0.0
543,1,2,4,4,0.0
544,1,2,4,5,0.0
545,1,2,4,6,0.0
546,1,2,4,7,0.0
547,1,2,4,8,0.0
548,1,2,4,9,0.0
549,1,2,4,10,0.0
550,1,2,4,11,0.0
551,1,2,4,12,0.0
552,1,2,4,13,0.0
553,1,2,4,14,0.0
554,1,2,4,15,-0.0
555,1,2,4,16,-0.0
556,1,2,4,17,-0.0
557,1,2,4,18,-0.0
558,1,2,4,19,-0.0
559,1,2,4,20,-0.0
560,1,2,4,21,-0.0
561,1,2,4,22,-0.0
562,1,2,4,23,-0.0
563,1,2,4,24,-0.0
564,1,2,4,25,-0.0
565,1,2,4,26,-0.0
566,1,2,4,27,-0.0
567,1,2,4,28,-0.0
568,1,2,4,29,0.0
569,1,2,4,30,0.0
570,1,2,5,1,0.0
571,1,2,5,2,0.0
572,1,2,5,3,0.0
573,1,2,5,4,0.0
574,1,2,5,5,0.0
575,1,2,5,6,0.0
576,1,2,5,7,0.0
577,1,2,5,8,0.0
578,1,2,5,9,0.0
579,1,2,5,10,0.0
580,1,2,5,11,0.0
581,1,2,5,12,0.0
582,1,2,5,13,0.0
583,1,2,5,14,0.0
584,1,2,5,15,-0.0
585,1,2,5,16,-0.0
586,1,2,5,17,-0.0
587,1,2,5,18,-0.0
588,1,2,5,19,-0.0
589,1,2,5,20,-0.0
590,1,2,5,21,-0.0
591,1,2,5,22,-0.0
592,1,2,5,23,-0.0
593,1,2,5,24,-0.0
594,1,2,5,25,-0.0
595,1,2,5,26,-0.0
596,1,2,5,27,-0.0
597,1,2,5,28,-0.0
598,1,2,5,29,0.0
599,1,2,5,30,0.0
600,1,2,6,1,0.0
601,1,2,6,2,0.0
602,1,2,6,3,0.0
603,1,2,6,4,0.0
604,1,2,6,5,0.0
605,1,2,6,6,0.0
606,1,2,6,7,0.0
607,1,2,6,8,0.0
608,1,2,6,9,0.0
609,1,2,6,10,0.0
610,1,2,6,11,0.0
611,1,2,6,12,0.0
612,1,2,6,13,0.0
613,1,2,6,14,0.0
614,1,2,6,15,-0.0
615,1,2,6,16,-0.0
616,1,2,6,17,-0.0
617,1,2,6,18,-0.0
618,1,2,6,19,-0.0
619,1,2,6,20,-0.0
620,1,2,6,21,-0.0
621,1,2,6,22,-0.0
622,1,2,6,23,-0.0
623,1,2,6,24,-0.0
624,1,2,6,25,-0.0
625,1,2,6,26,-0.0
626,1,2,6,27,-0.0
627,1,2,6,28,-0.0
628,1,2,6,29,0.0
629,1,2,6,30,0.0
630,1,2,7,1,0.0
631,1,2,7,2,0.0
632,1,2,7,3,0.0
633,1,2,7,4,0.0
634,1,2,7,5,0.0
635,1,2,7,6,0.0
636,1,2,7,7,0.0
637,1,2,7,8,0.0
638,1,2,7,9,0.0
639,1,2,7,10,0.0
640,1,2,7,11,0.0
641,1,2,7,12,0.0
642,1,2,7,13,0.0
643,1,2,7,14,0.0
644,1,2,7,15,-0.0
645,1,2,7,16,-0.0
646,1,2,7,17,-0.0
647,1,2,7,18,-0.0
648,1,2,7,19,-0.0
649,1,2,7,20,-0.0
650,1,2,7,21,-0.0
651,1,2,7,22,-0.0
652,1,2,7,23,-0.0
653,1,2,7,24,-0.0
654,1,2,7,25,-0.0
655,1,2,7,26,-0.0
656,1,2,7,27,-0.0
657,1,2,7,28,-0.0
658,1,2,7,29,0.0
659,1,2,7,30,0.0
660,1,2,8,1,0.0
661,1,2,8,2,0.0
662,1,2,8,3,0.0
663,1,2,8,4,0.0
664,1,2,8,5,0.0
665,1,2,8,6,0.0
666,1,2,8,7,0.0
667,1,2,8,8,0.0
668,1,2,8,9,0.0
669,1,2,8,10,0.0
670,1,2,8,11,0.0
671,1,2,8,12,0.0
672,1,2,8,13,0.0
673,1,2,8,14,0.0
674,1,2,8,15,-0.0
675,1,2,8,16,-0.0
676,1,2,8,17,-0.0
677,1,2,8,18,-0.0
678,1,2,8,19,-0.0
679,1,2,8,20,-0.0
680,1,2,8,21,-0.0
681,1,2,8,22,-0.0
682,1,2,8,23,-0.0
683,1,2,8,24,-0.0
684,1,2,8,25,-0.0
685,1,2,8,26,-0.0
686,1,2,8,27,-0.0
687,1,2,8,28,-0.0
688,1,2,8,29,0.0
689,1,2,8,30,0.0
690,1,2,9,1,0.0
691,1,2,9,2,0.0
692,1,2,9,3,0.0
693,1,2,9,4,0.0
694,1,2,9,5,0.0
695,1,2,9,6,0.0
696,1,2,9,7,0.0
697,1,2,9,8,0.0
698,1,2,9,9,0.0
699,1,2,9,10,0.0
700,1,2,9,11,0.0
701,1,2,9,12,0.0
702,1,2,9,13,0.0
703,1,2,9,14,0.0
704,1,2,9,15,-0.0
705,1,2,9,16,-0.0
706,1,2,9,17,-0.0
707,1,2,9,18,-0.0
708,1,2,9,19,-0.0
709,1,2,9,20,-0.0
710,1,2,9,21,-0.0
711,1,2,9,22,-0.0
712,1,2,9,23,-0.0
713,1,2,9,24,-0.0
714,1,2,9,25,-0.0
715,1,2,9,26,-0.0
716,1,2,9,27,-0.0
717,1,2,9,28,-0.0
718,1,2,9,29,0.0
719,1,2,9,30,0.0
720,1,2,10,1,0.0
721,1,2,10,2,0.0
722,1,2,10,3,0.0
723,1,2,10,4,0.0
724,1,2,10,5,0.0
725,1,2,10,6,0.0
726,1,2,10,7,0.0
727,1,2,10,8,0.0
728,1,2,10,9,0.0
729,1,2,10,10,0.0
730,1,2,10,11,0.0
731,1,2,10,12,0.0
732,1,2,10,13,0.0
733,1,2,10,14,0.0
734,1,2,10,15,-0.0
735,1,2,10,16,-0.0
736,1,2,10,17,-0.0
737,1,2,10,18,-0.0
738,1,2,10,19,-0.0
739,1,2,10,20,-0.0
740,1,2,10,21,-0.0
741,1,2,10,22,-0.0
742,1,2,10,23,-0.0
743,1,2,10,24,-0.0
744,1,2,10,25,-0.0
745,1,2,10,26,-0.0
746,1,2,10,27,-0.0
747,1,2,10,28,-0.0
748,1,2,10,29,0.0
749,1,2,10,30,0.0
750,1,2,11,1,0.0
751,1,2,11,2,0.0
752,1,2,11,3,0.0
753,1,2,11,4,0.0
754,1,2,11,5,0.0
755,1,2,11,6,0.0
756,1,2,11,7,0.0
757,1,2,11,8,0.0
758,1,2,11,9,0.0
759,1,2,11,10,0.0
760,1,2,11,11,0.0
761,1,2,11,12,0.0
762,1,2,11,13,0.0
763,1,2,11,14,0.0
764,1,2,11,15,-0.0
765,1,2,11,16,-0.0
766,1,2,11,17,-0.0
767,1,2,11,18,-0.0
768,1,2,11,19,-0.0
769,1,2,11,20,-0.0
770,1,2,11,21,-0.0
771,1,2,11,22,-0.0
772,1,2,11,23,-0.0
773,1,2,11,24,-0.0
774,1,2,11,25,-0.0
775,1,2,11,26,-0.0
776,1,2,11,27,-0.0
777,1,2,11,28,-0.0
778,1,2,11,29,0.0
779,1,2,11,30,0.0
780,1,2,12,1,0.0
781,1,2,12,2,0.0
782,1,2,12,3,0.0
783,1,2,12,4,0.0
784,1,2,12,5,0.0
785,1,2,12,6,0.0
786,1,2,12,7,0.0
787,1,2,12,8,0.0
788,1,2,12,9,0.0
789,1,2,12,10,0.0
790,1,2,12,11,0.0
791,1,2,12,12,0.0
792,1,2,12,13,0.0
793,1,2,12,14,0.0
794,1,2,12,15,-0.0
795,1,2,12,16,-0.0
796,1,2,12,17,-0.0
797,1,2,12,18,-0.0
798,1,2,12,19,-0.0
799,1,2,12,20,-0.0
800,1,2,12,21,-0.0
801,1,2,12,22,-0.0
802,1,2,12,23,-0.0
803,1,2,12,24,-0.0
804,1,2,12,25,-0.0
805,1,2,12,26,-0.0
806,1,2,12,27,-0.0
807,1,2,12,28,-0.0
808,1,2,12,29,0.0
809,1,2,12,30,0.0
810,1,2,13,1,0.0
811,1,2,13,2,0.0
812,1,2,13,3,0.0
813,1,2,13,4,0.0
814,1,2,13,5,0.0
815,1,2,13,6,0.0
816,1,2,13,7,0.0
817,1,2,13,8,0.0
818,1,2,13,9,0.0
819,1,2,13,10,0.0
820,1,2,13,11,0.0
821,1,2,13,12,0.0
822,1,2,13,13,0.0
823,1,2,13,14,0.0
824,1,2,13,15,-0.0
825,1,2,13,16,-0.0
826,1,2,13,17,-0.0
827,1,2,13,18,-0.0
828,1,2,13,19,-0.0
829,1,2,13,20,-0.0
830,1,2,13,21,-0.0
831,1,2,13,22,-0.0
832,1,2,13,23,-0.0
833,1,2,13,24,-0.0
834,1,2,13,25,-0.0
835,1,2,13,26,-0.0
836,1,2,13,27,-0.0
837,1,2,13,28,-0.0
838,1,2,13,29,0.0
839,1,2,13,30,0.0
840,1,2,14,1,0.0
841,1,2,14,2,0.0
842,1,2,14,3,0.0
843,1,2,14,4,0.0
844,1,2,14,5,0.0
845,1,2,14,6,0.0
846,1,2,14,7,0.0
847,1,2,14,8,0.0
848,1,2,14,9,0.0
849,1,2,14,10,0.0
850,1,2,14,11,0.0
851,1,2,14,12,0.0
852,1,2,14,13,0.0
853,1,2,14,14,0.0
854,1,2,14,15,-0.0
855,1,2,14,16,-0.0
856,1,2,14,17,-0.0
857,1,2,14,18,-0.0
858,1,2,14,19,-0.0
859,1,2,14,20,-0.0
860,1,2,14,21,-0.0
861,1,2,14,22,-0.0
862,1,2,14,23,-0.0
863,1,2,14,24,-0.0
864,1,2,14,25,-0.0
865,1,2,14,26,-0.0
866,1,2,14,27,-0.0
867,1,2,14,28,-0.0
868,1,2,14,29,0.0
869,1,2,14,30,0.0
870,1,2,15,1,0.0
871,1,2,15,2,0.0
872,1,2,15,3,0.0
873,1,2,15,4,0.0
874,1,2,15,5,0.0
875,1,2,15,6,0.0
876,1,2,15,7,0.0
877,1,2,15,8,0.0
878,1,2,15,9,0.0
879,1,2,15,10,0.0
880,1,2,15,11,0.0
881,1,2,15,12,0.0
882,1,2,15,13,0.0
883,1,2,15,14,0.0
884,1,2,15,15,-0.0
885,1,2,15,16,-0.0
886,1,2,15,17,-0.0
887,1,2,15,18,-0.0
888,1,2,15,19,-0.0
889,1,2,15,20,-0.0
890,1,2,15,21,-0.0
891,1,2,15,22,-0.0
892,1,2,15,23,-0.0
893,1,2,15,24,-0.0
894,1,2,15,25,-0.0
895,1,2,15,26,-0.0
896,1,2,15,27,-0.0
897,1,2,15,28,-0.0
898,1,2,15,29,0.0
899,1,2,15,30,0.0
900,1,3,1,1,0.0
901,1,3,1,2,0.0
902,1,3,1,3,0.0
903,1,3,1,4,0.0
904,1,3,1,5,0.0
905,1,3,1,6,0.0
906,1,3,1,7,0.0
907,1,3,1,8,0.0
908,1,3,1,9,0.0
909,1,3,1,10,0.0
910,1,3,1,11,0.0
911,1,3,1,12,0.0
912,1,3,1,13,0.0
913,1,3,1,14,0.0
914,1,3,1,15,0.0
915,1,3,1,16,0.0
916,1,3,1,17,0.0
917,1,3,1,18,0.0
918,1,3,1,19,0.0
919,1,3,1,20,0.0
920,1,3,1,21,0.0
921,1,3,1,22,-0.0
922,1,3,1,23,-0.0
923,1,3,1,24,-0.0
924,1,3,1,25,-0.0
925,1,3,1,26,-0.0
926,1,3,1,27,-0.0
927,1,3,1,28,-0.0
928,1,3,1,29,0.0
929,1,3,1,30,0.0
930,1,3,2,1,0.0
931,1,3,2,2,0.0
932,1,3,2,3,0.0
933,1,3,2,4,0.0
934,1,3,2,5,0.0
935,1,3,2,6,0.0
936,1,3,2,7,0.0
937,1,3,2,8,0.0
938,1,3,2,9,0.0
939,1,3,2,10,0.0
940,1,3,2,11,0.0
941,1,3,2,12,0.0
942,1,3,2,13,0.0
943,1,3,2,14,0.0
944,1,3,2,15,0.0
945,1,3,2,16,0.0
946,1,3,2,17,0.0
947,1,3,2,18,0.0
948,1,3,2,19,0.0
949,1,3,2,20,0.0
950,1,3,2,21,0.0
951,1,3,2,22,-0.0
952,1,3,2,23,-0.0
953,1,3,2,24,-0.0
954,1,3,2,25,-0.0
955,1,3,2,26,-0.0
956,1,3,2,27,-0.0
957,1,3,2,28,-0.0
958,1,3,2,29,0.0
